year,avg_price,train_prediction,test_prediction
2014,279441.0,278423.2051282041,
2015,267835.0,293737.3799533807,
2016,315180.0,309051.55477855355,
2017,322337.0,324365.72960373014,
2018,328214.0,339679.904428903,
2019,318643.0,354994.0792540796,
2020,432704.0,370308.2540792525,
2021,421033.0,385622.4289044291,
2022,445181.0,400936.60372960195,
2023,404280.0,416250.77855477855,
2024,376422.0,431564.9533799514,
2025,440544.0,446879.128205128,
2026,,,462193.3030303009
