year,avg_price,train_prediction,test_prediction
2018,328214.0,353624.25,
2019,318643.0,365696.6428571455,
2020,432704.0,377769.0357142873,
2021,421033.0,389841.4285714291,
2022,445181.0,401913.8214285746,
2023,404280.0,413986.2142857164,
2024,376422.0,426058.6071428582,
2025,440544.0,438131.0,
2026,,,450203.3928571455
